product_name,description,intended_uses,packaging,shelf_life,composition_per_100g,recommended_for
Skimmed Milk Powder (SMP),"Obtained from cow’s milk that has been skimmed, pasteurized and concentrated by vacuum evaporation. Contains casein and whey protein, high in soluble vitamins and minerals.","Reconstitution of milk, sweetened condensed milk, fermented milk products, yoghurt, ice cream mixes, bakery and confectionery products. Not for infant formula below 12 months.",25 Kg Multi wall kraft paper bag with LDPE inner liner.,18 Months,"Protein: 34g, Moisture: 4g, Fat: 1.5g, Total Carbohydrate: 52g, Ash: 6g",
Flavoured Milk Powder (15g),"Contains cocoa/strawberry, milk and sugar, manufactured under hygienic conditions. Packed with vitamins A, D, C, B1, B6 and minerals.",Direct consumption or as ingredient in beverages/bakery. Not for infants below 12 months.,15 gm sachet,24 Months,"Protein: 24g, Moisture: 3.5g, Fat: 28g, Total Carbohydrate: 39g, Minerals (Ash): 6.5g, Soya Lecithin: 0.2g",
Whole Milk Powder (WMP),"Obtained by two-step evaporation of standardized whole milk, then spray dried.","Reconstitution of milk, sweetened condensed milk, fermented milk products, yoghurt, ice cream mixes, bakery and confectionery products. Not for infants below 12 months.",25 Kg Multi wall kraft paper bag with LDPE inner liner.,12 Months,"Protein: 25g, Moisture: 3.5g, Fat: 26g, Total Carbohydrate: 39g, Minerals (Ash): 6.5g",
Instant Full Cream Milk Powder (IFCMP),"Made from fresh, homogenized and pasteurized cow’s milk. Highly soluble due to Soya Lecithin.","For tea, coffee, milk-based beverages, bakery and confectionery. Not for infants below 24 months.","Sachets: 5,10,15,50g; Tins: 250,400,900g,2.5,5 Kg; Bags: 25 Kg",24 Months,"Protein: 24g, Moisture: 3.5g, Fat: 28g, Total Carbohydrate: 39g, Minerals (Ash): 6.5g, Soya Lecithin: 0.2g",
Lato Grow Fortified Milk Powder,"Fortified milk powder with vitamins, calcium, iron for child growth.",Mix 3 tablespoons (25g) with 250ml warm water.,400 gm Tin,12 Months,"Energy: 2073kCal, Carbohydrates: 36g, Protein: 34g, Butter Fat: 28g, Minerals: 6.5g, Vitamins A, B1, B3, B6, B9, B12, D, Iron, Zinc, Calcium",
Lato ESL Milk Pouch,"Seven-layer custom pack, nutritious, creamy.","Liquid milk, tea, coffee, milk-based beverages. Not for infants.","200 & 500 ml pouches, 95 micron, 5 ply corrugated boxes",90 Days,"Energy: 260.1 kJ / 62.2 kCal, Fat: 3.7%, Titratable acidity: 0.13-0.15, SNF: 8.5%, Density: 1.028-1.036 g/ml",
Lato UHT Milk Slim Pack,"Convenient 125ml & 250ml pack, creamy, protein & calcium source.","Liquid milk, tea, coffee, milk-based beverages. Not for infants.","125 & 250 ml tetra brick, 7 layer film","6 months unopened, 4 days opened","Energy: 260.1 kJ / 62.2 kCal, Fat: 3.7%, Titratable acidity: 0.13-0.15, SNF: 8.5%, Density: 1.028-1.036 g/ml",
Lato UHT Milk Fino Pack,"200 ml & 500ml long-life milk, hygienic, affordable.","Liquid milk, tea, coffee, milk-based beverages. Not for infants.","200 & 500 ml pouch, 7 layer film","180 Days, 4 days once opened","Energy: 260.1 kJ / 62.2 kCal, Fat: 3.7%, Titratable acidity: 0.13-0.15, SNF: 8.5%, Density: 1.028-1.036 g/ml",
Lato Chocolate/Vanilla/Strawberry UHT Milk,"Flavoured milk, low fat, rich in calcium & protein.",Direct consumption. Not for infants.,"125 & 250 ml aseptic pack, 7 layer film","180 Days, 4 days once opened","Energy: 94 kCal / 397 kJ, Fat: 2g, Titratable acidity: 0.13-0.15, Carbohydrates: 16g, Protein: 3g",
Lato Custard UHT Milk,"Creamy custard-flavoured milk, rich in nutrients.",Direct consumption. Not for infants.,"125 ml aseptic pack, 7 layer film","180 Days, 4 days once opened","Energy: 76 kCal / 320.5 kJ, Fat: 2g, Carbohydrates: 11.5g, Sugar: 7.5g, Saturated Fat: 0.8g, Protein: 3g, Fiber: 0, Sodium: 35g, Calcium: 110g",
